environment,control_a,control_b,objective_a,objective_b,objective_pair,synergy_delta,pair_safety,pair_compliance,pair_utility,pair_auditability
healthcare_strict,medical_urgency_classifier,policy_graph_router,0.5067250000000001,0.49812500000000004,0.582125,0.0136,0.7650000000000001,0.61875,0.75125,0.42
healthcare_strict,financial_vulnerability_classifier,policy_graph_router,0.44032500000000013,0.49812500000000004,0.515725,0.0136,0.6050000000000001,0.5687499999999999,0.75125,0.42
healthcare_strict,policy_graph_router,adaptive_risk_controller,0.49812500000000004,0.49817500000000015,0.573575,0.0136,0.7275000000000001,0.63,0.75125,0.42
healthcare_strict,policy_compliance_judge,policy_graph_router,0.495425,0.49812500000000004,0.5674250000000001,0.0102,0.6150000000000001,0.7487500000000001,0.7312500000000001,0.44
healthcare_strict,regex_denylist,policy_compliance_judge,0.45412500000000006,0.495425,0.520425,0.0072,0.535,0.7587499999999999,0.7212500000000002,0.32
healthcare_strict,schema_validator,policy_compliance_judge,0.45382500000000003,0.495425,0.5201250000000001,0.0072,0.535,0.72875,0.7412499999999999,0.35000000000000003
healthcare_strict,regex_denylist,schema_validator,0.45412500000000006,0.45382500000000003,0.471625,0.0,0.4850000000000001,0.6287499999999999,0.7412499999999999,0.35000000000000003
healthcare_strict,regex_denylist,medical_urgency_classifier,0.45412500000000006,0.5067250000000001,0.524525,0.0,0.6450000000000001,0.6287499999999999,0.7412499999999999,0.32
healthcare_strict,regex_denylist,financial_vulnerability_classifier,0.45412500000000006,0.44032500000000013,0.45812500000000006,0.0,0.4850000000000001,0.57875,0.7412499999999999,0.32
healthcare_strict,regex_denylist,policy_graph_router,0.45412500000000006,0.49812500000000004,0.515925,0.0,0.5650000000000001,0.6487499999999999,0.7312500000000001,0.42
healthcare_strict,regex_denylist,adaptive_risk_controller,0.45412500000000006,0.49817500000000015,0.515975,-0.0,0.6075,0.6399999999999999,0.7412499999999999,0.32
healthcare_strict,regex_denylist,human_escalation_gate,0.45412500000000006,0.48219999999999996,0.49999999999999994,0.0,0.5475,0.6287499999999999,0.69125,0.3575
healthcare_strict,schema_validator,medical_urgency_classifier,0.45382500000000003,0.5067250000000001,0.524225,0.0,0.6450000000000001,0.59875,0.7612500000000001,0.35000000000000003
healthcare_strict,schema_validator,financial_vulnerability_classifier,0.45382500000000003,0.44032500000000013,0.45782500000000004,0.0,0.4850000000000001,0.54875,0.7612500000000001,0.35000000000000003
healthcare_strict,schema_validator,policy_graph_router,0.45382500000000003,0.49812500000000004,0.515625,0.0,0.5650000000000001,0.61875,0.75125,0.45000000000000007
healthcare_strict,schema_validator,adaptive_risk_controller,0.45382500000000003,0.49817500000000015,0.5156750000000001,0.0,0.6075,0.61,0.7612500000000001,0.35000000000000003
healthcare_strict,schema_validator,human_escalation_gate,0.45382500000000003,0.48219999999999996,0.4997,0.0,0.5475,0.5987499999999999,0.7112499999999999,0.3875
healthcare_strict,medical_urgency_classifier,financial_vulnerability_classifier,0.5067250000000001,0.44032500000000013,0.5107250000000001,0.0,0.6450000000000001,0.54875,0.7612500000000001,0.32
healthcare_strict,medical_urgency_classifier,policy_compliance_judge,0.5067250000000001,0.495425,0.565825,0.0,0.6950000000000002,0.69875,0.7412499999999999,0.32
healthcare_strict,medical_urgency_classifier,adaptive_risk_controller,0.5067250000000001,0.49817500000000015,0.568575,-0.0,0.7675,0.61,0.7612500000000001,0.32
healthcare_strict,medical_urgency_classifier,human_escalation_gate,0.5067250000000001,0.48219999999999996,0.5526,0.0,0.7075,0.5987499999999999,0.7112499999999999,0.3575
healthcare_strict,financial_vulnerability_classifier,policy_compliance_judge,0.44032500000000013,0.495425,0.499425,0.0,0.535,0.6487499999999999,0.7412499999999999,0.32
healthcare_strict,financial_vulnerability_classifier,adaptive_risk_controller,0.44032500000000013,0.49817500000000015,0.5021750000000001,0.0,0.6075,0.56,0.7612500000000001,0.32
healthcare_strict,financial_vulnerability_classifier,human_escalation_gate,0.44032500000000013,0.48219999999999996,0.48619999999999997,0.0,0.5475,0.54875,0.7112499999999999,0.3575
healthcare_strict,policy_compliance_judge,adaptive_risk_controller,0.495425,0.49817500000000015,0.5572750000000001,0.0,0.6575000000000001,0.71,0.7412499999999999,0.32
healthcare_strict,policy_compliance_judge,human_escalation_gate,0.495425,0.48219999999999996,0.5413,0.0,0.5975,0.69875,0.69125,0.3575
healthcare_strict,policy_graph_router,human_escalation_gate,0.49812500000000004,0.48219999999999996,0.544,0.0,0.6275000000000001,0.6187499999999999,0.7012499999999998,0.4575
healthcare_strict,adaptive_risk_controller,human_escalation_gate,0.49817500000000015,0.48219999999999996,0.54405,0.0,0.6699999999999999,0.6099999999999999,0.7112499999999999,0.3575
