control_a,control_b,environment,objective_a,objective_b,objective_pair,pair_auditability,pair_compliance,pair_safety,pair_utility,synergy_delta
policy_compliance_judge,policy_graph_router,finance_consumer,0.49728750000000005,0.49238750000000003,0.5682875000000001,0.44,0.7450000000000001,0.6000000000000001,0.725,0.0114
medical_urgency_classifier,policy_graph_router,finance_consumer,0.4441375000000001,0.49238750000000003,0.5149375,0.42,0.5612499999999999,0.6100000000000001,0.745,0.0112
financial_vulnerability_classifier,policy_graph_router,finance_consumer,0.49278750000000004,0.49238750000000003,0.5635875000000001,0.42,0.635,0.71,0.745,0.0112
policy_graph_router,adaptive_risk_controller,finance_consumer,0.49238750000000003,0.4897375000000001,0.5605375000000001,0.42,0.60875,0.7200000000000001,0.745,0.0112
regex_denylist,policy_compliance_judge,finance_consumer,0.45583750000000006,0.49728750000000005,0.5287375000000001,0.32,0.755,0.52875,0.7150000000000001,0.0084
schema_validator,policy_compliance_judge,finance_consumer,0.45228750000000006,0.49728750000000005,0.5251875,0.35000000000000003,0.7250000000000001,0.52,0.7349999999999999,0.0084
regex_denylist,schema_validator,finance_consumer,0.45583750000000006,0.45228750000000006,0.4753375000000001,0.35000000000000003,0.615,0.4787500000000001,0.7349999999999999,0.0
regex_denylist,medical_urgency_classifier,finance_consumer,0.45583750000000006,0.4441375000000001,0.4671875000000001,0.32,0.57125,0.49875000000000014,0.7349999999999999,0.0
regex_denylist,financial_vulnerability_classifier,finance_consumer,0.45583750000000006,0.49278750000000004,0.5158375000000001,0.32,0.6449999999999999,0.5987500000000001,0.7349999999999999,0.0
regex_denylist,policy_graph_router,finance_consumer,0.45583750000000006,0.49238750000000003,0.5154375000000001,0.42,0.635,0.55875,0.725,0.0
regex_denylist,adaptive_risk_controller,finance_consumer,0.45583750000000006,0.4897375000000001,0.5127875000000001,0.32,0.6187499999999999,0.60875,0.7349999999999999,0.0
regex_denylist,human_escalation_gate,finance_consumer,0.45583750000000006,0.47591249999999996,0.4989625,0.3575,0.6149999999999999,0.54125,0.6849999999999999,0.0
schema_validator,medical_urgency_classifier,finance_consumer,0.45228750000000006,0.4441375000000001,0.4636375000000001,0.35000000000000003,0.54125,0.4900000000000001,0.7550000000000001,0.0
schema_validator,financial_vulnerability_classifier,finance_consumer,0.45228750000000006,0.49278750000000004,0.5122875000000001,0.35000000000000003,0.615,0.5900000000000001,0.7550000000000001,0.0
schema_validator,policy_graph_router,finance_consumer,0.45228750000000006,0.49238750000000003,0.5118875,0.45000000000000007,0.605,0.55,0.745,0.0
schema_validator,adaptive_risk_controller,finance_consumer,0.45228750000000006,0.4897375000000001,0.5092375000000001,0.35000000000000003,0.5887499999999999,0.6000000000000001,0.7550000000000001,0.0
schema_validator,human_escalation_gate,finance_consumer,0.45228750000000006,0.47591249999999996,0.4954125,0.3875,0.585,0.5325,0.7049999999999998,0.0
medical_urgency_classifier,financial_vulnerability_classifier,finance_consumer,0.4441375000000001,0.49278750000000004,0.5041375000000001,0.32,0.57125,0.6100000000000001,0.7550000000000001,0.0
medical_urgency_classifier,policy_compliance_judge,finance_consumer,0.4441375000000001,0.49728750000000005,0.5086375000000001,0.32,0.65125,0.54,0.7349999999999999,0.0
medical_urgency_classifier,adaptive_risk_controller,finance_consumer,0.4441375000000001,0.4897375000000001,0.5010875000000001,0.32,0.5449999999999999,0.6200000000000001,0.7550000000000001,0.0
medical_urgency_classifier,human_escalation_gate,finance_consumer,0.4441375000000001,0.47591249999999996,0.48726250000000004,0.3575,0.54125,0.5525,0.7049999999999998,0.0
financial_vulnerability_classifier,policy_compliance_judge,finance_consumer,0.49278750000000004,0.49728750000000005,0.5572875,0.32,0.725,0.6400000000000001,0.7349999999999999,0.0
financial_vulnerability_classifier,adaptive_risk_controller,finance_consumer,0.49278750000000004,0.4897375000000001,0.5497375000000001,0.32,0.6187499999999999,0.72,0.7550000000000001,0.0
financial_vulnerability_classifier,human_escalation_gate,finance_consumer,0.49278750000000004,0.47591249999999996,0.5359125,0.3575,0.6149999999999999,0.6525,0.7049999999999998,0.0
policy_compliance_judge,adaptive_risk_controller,finance_consumer,0.49728750000000005,0.4897375000000001,0.5542375000000002,0.32,0.6987500000000001,0.6500000000000001,0.7349999999999999,0.0
policy_compliance_judge,human_escalation_gate,finance_consumer,0.49728750000000005,0.47591249999999996,0.5404125000000001,0.3575,0.6950000000000001,0.5825,0.6849999999999999,0.0
policy_graph_router,human_escalation_gate,finance_consumer,0.49238750000000003,0.47591249999999996,0.5355125000000002,0.4575,0.605,0.6125,0.6949999999999998,0.0
adaptive_risk_controller,human_escalation_gate,finance_consumer,0.4897375000000001,0.47591249999999996,0.5328625000000001,0.3575,0.58875,0.6625,0.7049999999999998,0.0
